x,y,V
1,1,0
1.02,1,0.0201987
1.04,1,0.0407895
1.06,1,0.061765
1.08,1,0.0831179
1.1,1,0.104841
1.12,1,0.126928
1.14,1,0.149372
1.16,1,0.172167
1.18,1,0.195307
1.2,1,0.218786
1.22,1,0.242598
1.24,1,0.266738
1.26,1,0.291201
1.28,1,0.315981
1.3,1,0.341074
1.32,1,0.366474
1.34,1,0.392177
1.36,1,0.418179
1.38,1,0.444475
1.4,1,0.471061
1.42,1,0.497933
1.44,1,0.525086
1.46,1,0.552517
1.48,1,0.580222
1.5,1,0.608198
1.52,1,0.63644
1.54,1,0.664945
1.56,1,0.69371
1.58,1,0.722731
1.6,1,0.752006
1.62,1,0.78153
1.64,1,0.811302
1.66,1,0.841317
1.68,1,0.871574
1.7,1,0.902068
1.72,1,0.932798
1.74,1,0.96376
1.76,1,0.994952
1.78,1,1.02637
1.8,1,1.05802
1.82,1,1.08988
1.84,1,1.12197
1.86,1,1.15427
1.88,1,1.18679
1.9,1,1.21952
1.92,1,1.25246
1.94,1,1.28561
1.96,1,1.31897
1.98,1,1.35253
2,1,1.38629
1,1.02,0.0201987
1.02,1.02,0.0409565
1.04,1.02,0.062115
1.06,1.02,0.0836672
1.08,1.02,0.105607
1.1,1.02,0.127927
1.12,1.02,0.150621
1.14,1.02,0.173684
1.16,1.02,0.19711
1.18,1.02,0.220894
1.2,1.02,0.24503
1.22,1.02,0.269513
1.24,1.02,0.294339
1.26,1.02,0.319502
1.28,1.02,0.344999
1.3,1.02,0.370824
1.32,1.02,0.396975
1.34,1.02,0.423445
1.36,1.02,0.450233
1.38,1.02,0.477334
1.4,1.02,0.504744
1.42,1.02,0.532459
1.44,1.02,0.560477
1.46,1.02,0.588794
1.48,1.02,0.617406
1.5,1.02,0.64631
1.52,1.02,0.675503
1.54,1.02,0.704982
1.56,1.02,0.734743
1.58,1.02,0.764783
1.6,1.02,0.7951
1.62,1.02,0.82569
1.64,1.02,0.85655
1.66,1.02,0.887677
1.68,1.02,0.919067
1.7,1.02,0.950718
1.72,1.02,0.982626
1.74,1.02,1.01479
1.76,1.02,1.0472
1.78,1.02,1.07986
1.8,1.02,1.11276
1.82,1.02,1.14591
1.84,1.02,1.17929
1.86,1.02,1.2129
1.88,1.02,1.24674
1.9,1.02,1.28081
1.92,1.02,1.3151
1.94,1.02,1.34961
1.96,1.02,1.38434
1.98,1.02,1.41927
2,1.02,1.45442
1,1.04,0.0407895
1.02,1.04,0.0621135
1.04,1.04,0.0838468
1.06,1.04,0.105983
1.08,1.04,0.128516
1.1,1.04,0.15144
1.12,1.04,0.174749
1.14,1.04,0.198438
1.16,1.04,0.222503
1.18,1.04,0.246937
1.2,1.04,0.271738
1.22,1.04,0.296899
1.24,1.04,0.322417
1.26,1.04,0.348288
1.28,1.04,0.374509
1.3,1.04,0.401074
1.32,1.04,0.427981
1.34,1.04,0.455227
1.36,1.04,0.482808
1.38,1.04,0.51072
1.4,1.04,0.538961
1.42,1.04,0.567528
1.44,1.04,0.596418
1.46,1.04,0.625627
1.48,1.04,0.655153
1.5,1.04,0.684994
1.52,1.04,0.715145
1.54,1.04,0.745605
1.56,1.04,0.77637
1.58,1.04,0.807437
1.6,1.04,0.838804
1.62,1.04,0.870468
1.64,1.04,0.902424
1.66,1.04,0.93467
1.68,1.04,0.967202
1.7,1.04,1.00002
1.72,1.04,1.03311
1.74,1.04,1.06648
1.76,1.04,1.10012
1.78,1.04,1.13403
1.8,1.04,1.1682
1.82,1.04,1.20263
1.84,1.04,1.23731
1.86,1.04,1.27225
1.88,1.04,1.30742
1.9,1.04,1.34284
1.92,1.04,1.37849
1.94,1.04,1.41437
1.96,1.04,1.45047
1.98,1.04,1.48679
2,1.04,1.52333
1,1.06,0.061765
