x,y,V
0,0,0
0.02,0,-7.82405
0.04,0,-6.43775
0.06,0,-5.62682
0.08,0,-5.05146
0.1,0,-4.60517
0.12,0,-4.24053
0.14,0,-3.93223
0.16,0,-3.66516
0.18,0,-3.4296
0.2,0,-3.21888
0.22,0,-3.02826
0.24,0,-2.85423
0.26,0,-2.69415
0.28,0,-2.54593
0.3,0,-2.40795
0.32,0,-2.27887
0.34,0,-2.15762
0.36,0,-2.0433
0.38,0,-1.93517
0.4,0,-1.83258
0.42,0,-1.735
0.44,0,-1.64196
0.46,0,-1.55306
0.48,0,-1.46794
0.5,0,-1.38629
0.52,0,-1.30785
0.54,0,-1.23237
0.56,0,-1.15964
0.58,0,-1.08945
0.6,0,-1.02165
0.62,0,-0.956072
0.64,0,-0.892574
0.66,0,-0.831031
0.68,0,-0.771325
0.7,0,-0.71335
0.72,0,-0.657008
0.74,0,-0.60221
0.76,0,-0.548874
0.78,0,-0.496923
0.8,0,-0.446287
0.82,0,-0.396902
0.84,0,-0.348707
0.86,0,-0.301646
0.88,0,-0.255667
0.9,0,-0.210721
0.92,0,-0.166763
0.94,0,-0.123751
0.96,0,-0.081644
0.98,0,-0.0404054
1,0,0
1.02,0,0.0396053
1.04,0,0.0784414
1.06,0,0.116538
1.08,0,0.153922
1.1,0,0.19062
1.12,0,0.226657
1.14,0,0.262057
1.16,0,0.29684
1.18,0,0.331029
1.2,0,0.364643
1.22,0,0.397702
1.24,0,0.430223
1.26,0,0.462223
1.28,0,0.49372
1.3,0,0.524729
1.32,0,0.555263
1.34,0,0.585339
1.36,0,0.614969
1.38,0,0.644167
1.4,0,0.672944
1.42,0,0.701314
1.44,0,0.729286
1.46,0,0.756873
1.48,0,0.784084
1.5,0,0.81093
1.52,0,0.837421
1.54,0,0.863565
1.56,0,0.889372
1.58,0,0.91485
1.6,0,0.940007
1.62,0,0.964852
1.64,0,0.989392
1.66,0,1.01364
1.68,0,1.03759
1.7,0,1.06126
1.72,0,1.08465
1.74,0,1.10777
1.76,0,1.13063
1.78,0,1.15323
1.8,0,1.17557
1.82,0,1.19767
1.84,0,1.21953
1.86,0,1.24115
1.88,0,1.26254
1.9,0,1.28371
1.92,0,1.30465
1.94,0,1.32538
1.96,0,1.34589
1.98,0,1.36619
2,0,1.38629
0,0.01,9.9995e-05
0.02,0.01,-5.02224
0.04,0.01,-5.28227
0.06,0.01,-4.9748
0.08,0.01,-4.61976
0.1,0.01,-4.29253
0.12,0.01,-4.00095
0.14,0.01,-3.74135
0.16,0.01,-3.50868
0.18,0.01,-3.29845
0.2,0.01,-3.10702
0.22,0.01,-2.93146
0.24,0.01,-2.76946
0.26,0.01,-2.61914
0.28,0.01,-2.47896
0.3,0.01,-2.34769
0.32,0.01,-2.22427
0.34,0.01,-2.10784
0.36,0.01,-1.99766
0.38,0.01,-1.89311
0.4,0.01,-1.79364
0.42,0.01,-1.6988
0.44,0.01,-1.60817
0.46,0.01,-1.52141
0.48,0.01,-1.43819
0.5,0.01,-1.35825
0.52,0.01,-1.28134
0.54,0.01,-1.20724
0.56,0.01,-1.13575
0.58,0.01,-1.06671
0.6,0.01,-0.999938
0.62,0.01,-0.935305
0.64,0.01,-0.872677
0.66,0.01,-0.811933
0.68,0.01,-0.752965
0.7,0.01,-0.695673
0.72,0.01,-0.639966
0.74,0.01,-0.585759
0.76,0.01,-0.532974
0.78,0.01,-0.481539
0.8,0.01,-0.431387
0.82,0.01,-0.382457
0.84,0.01,-0.334692
0.86,0.01,-0.288037
