x,y,V
1,1,0
1.01,1,0.0100498
1.02,1,0.0201987
1.03,1,0.0304456
1.04,1,0.0407895
1.05,1,0.0512297
1.06,1,0.061765
1.07,1,0.0723948
1.08,1,0.0831179
1.09,1,0.0939337
1.1,1,0.104841
1.11,1,0.11584
1.12,1,0.126928
1.13,1,0.138106
1.14,1,0.149372
1.15,1,0.160726
1.16,1,0.172167
1.17,1,0.183694
1.18,1,0.195307
1.19,1,0.207004
1.2,1,0.218786
1.21,1,0.230651
1.22,1,0.242598
1.23,1,0.254627
1.24,1,0.266738
1.25,1,0.278929
1.26,1,0.291201
1.27,1,0.303551
1.28,1,0.315981
1.29,1,0.328488
1.3,1,0.341074
1.31,1,0.353736
1.32,1,0.366474
1.33,1,0.379288
1.34,1,0.392177
1.35,1,0.405141
1.36,1,0.418179
1.37,1,0.431291
1.38,1,0.444475
1.39,1,0.457732
1.4,1,0.471061
1.41,1,0.484461
1.42,1,0.497933
1.43,1,0.511474
1.44,1,0.525086
1.45,1,0.538767
1.46,1,0.552517
1.47,1,0.566336
1.48,1,0.580222
1.49,1,0.594176
1.5,1,0.608198
1.51,1,0.622286
1.52,1,0.63644
1.53,1,0.65066
1.54,1,0.664945
1.55,1,0.679295
1.56,1,0.69371
1.57,1,0.708189
1.58,1,0.722731
1.59,1,0.737337
1.6,1,0.752006
1.61,1,0.766737
1.62,1,0.78153
1.63,1,0.796385
1.64,1,0.811302
1.65,1,0.826279
1.66,1,0.841317
1.67,1,0.856415
1.68,1,0.871574
1.69,1,0.886791
1.7,1,0.902068
1.71,1,0.917404
1.72,1,0.932798
1.73,1,0.94825
1.74,1,0.96376
1.75,1,0.979328
1.76,1,0.994952
1.77,1,1.01063
1.78,1,1.02637
1.79,1,1.04217
1.8,1,1.05802
1.81,1,1.07392
1.82,1,1.08988
1.83,1,1.1059
1.84,1,1.12197
1.85,1,1.13809
1.86,1,1.15427
1.87,1,1.1705
1.88,1,1.18679
1.89,1,1.20313
1.9,1,1.21952
1.91,1,1.23597
1.92,1,1.25246
1.93,1,1.26901
1.94,1,1.28561
1.95,1,1.30227
1.96,1,1.31897
1.97,1,1.33573
1.98,1,1.35253
1.99,1,1.36939
2,1,1.38629
1,1.01,0.0100498
1.01,1.01,0.0202373
1.02,1.01,0.0305247
1.03,1.01,0.0409113
1.04,1.01,0.0513961
