x,y,V
0,0,1
0.02,0,1
0.04,0,1
0.06,0,1
0.08,0,1
0.1,0,1
0.12,0,1
0.14,0,1
0.16,0,1
0.18,0,1
0.2,0,1
0.22,0,1
0.24,0,1
0.26,0,1
0.28,0,1
0.3,0,1
0.32,0,1
0.34,0,1
0.36,0,1
0.38,0,1
0.4,0,1
0.42,0,1
0.44,0,1
0.46,0,1
0.48,0,1
0.5,0,1
0.52,0,1
0.54,0,1
0.56,0,1
0.58,0,1
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
1.02,0,1
1.04,0,1
1.06,0,1
1.08,0,1
1.1,0,1
1.12,0,1
1.14,0,1
1.16,0,1
1.18,0,1
1.2,0,1
1.22,0,1
1.24,0,1
1.26,0,1
1.28,0,1
1.3,0,1
1.32,0,1
1.34,0,1
1.36,0,1
1.38,0,1
1.4,0,1
1.42,0,1
1.44,0,1
1.46,0,1
1.48,0,1
1.5,0,1
1.52,0,1
1.54,0,1
1.56,0,1
1.58,0,1
1.6,0,1
1.62,0,1
1.64,0,1
1.66,0,1
1.68,0,1
1.7,0,1
1.72,0,1
1.74,0,1
1.76,0,1
1.78,0,1
1.8,0,1
1.82,0,1
1.84,0,1
1.86,0,1
1.88,0,1
1.9,0,1
1.92,0,1
1.94,0,1
1.96,0,1
1.98,0,1
2,0,1
0,0.01,1
0.02,0.01,1.0002
0.04,0.01,1.0004
0.06,0.01,1.00059
0.08,0.01,1.00079
0.1,0.01,1.00099
0.12,0.01,1.00119
0.14,0.01,1.00139
0.16,0.01,1.00159
0.18,0.01,1.00178
0.2,0.01,1.00198
0.22,0.01,1.00218
0.24,0.01,1.00238
0.26,0.01,1.00258
0.28,0.01,1.00278
0.3,0.01,1.00298
0.32,0.01,1.00317
0.34,0.01,1.00337
0.36,0.01,1.00357
0.38,0.01,1.00377
0.4,0.01,1.00397
0.42,0.01,1.00417
0.44,0.01,1.00437
0.46,0.01,1.00457
0.48,0.01,1.00477
0.5,0.01,1.00497
0.52,0.01,1.00517
0.54,0.01,1.00537
0.56,0.01,1.00557
0.58,0.01,1.00577
0.6,0.01,1.00597
0.62,0.01,1.00617
0.64,0.01,1.00637
0.66,0.01,1.00657
0.68,0.01,1.00677
0.7,0.01,1.00697
0.72,0.01,1.00717
0.74,0.01,1.00737
0.76,0.01,1.00757
0.78,0.01,1.00777
0.8,0.01,1.00797
0.82,0.01,1.00817
0.84,0.01,1.00837
0.86,0.01,1.00858
0.88,0.01,1.00878
0.9,0.01,1.00898
0.92,0.01,1.00918
0.94,0.01,1.00938
0.96,0.01,1.00958
0.98,0.01,1.00978
1,0.01,1.00999
1.02,0.01,1.01019
1.04,0.01,1.01039
1.06,0.01,1.01059
1.08,0.01,1.0108
1.1,0.01,1.011
1.12,0.01,1.0112
1.14,0.01,1.0114
1.16,0.01,1.01161
1.18,0.01,1.01181
1.2,0.01,1.01201
1.22,0.01,1.01221
1.24,0.01,1.01242
1.26,0.01,1.01262
1.28,0.01,1.01282
1.3,0.01,1.01303
1.32,0.01,1.01323
1.34,0.01,1.01344
1.36,0.01,1.01364
1.38,0.01,1.01384
1.4,0.01,1.01405
1.42,0.01,1.01425
1.44,0.01,1.01446
1.46,0.01,1.01466
1.48,0.01,1.01486
1.5,0.01,1.01507
1.52,0.01,1.01527
1.54,0.01,1.01548
1.56,0.01,1.01568
1.58,0.01,1.01589
1.6,0.01,1.01609
1.62,0.01,1.0163
1.64,0.01,1.0165
1.66,0.01,1.01671
1.68,0.01,1.01691
1.7,0.01,1.01712
1.72,0.01,1.01732
1.74,0.01,1.01753
1.76,0.01,1.01773
1.78,0.01,1.01794
1.8,0.01,1.01814
1.82,0.01,1.01835
1.84,0.01,1.01855
1.86,0.01,1.01876
1.88,0.01,1.01897
1.9,0.01,1.01917
1.92,0.01,1.01938
1.94,0.01,1.01958
1.96,0.01,1.01979
1.98,0.01,1.02
2,0.01,1.0202
0,0.02,1
0.02,0.02,1.0004
0.04,0.02,1.00079
0.06,0.02,1.00119
0.08,0.02,1.00159
0.1,0.02,1.00198
0.12,0.02,1.00238
0.14,0.02,1.00278
0.16,0.02,1.00317
0.18,0.02,1.00357
0.2,0.02,1.00397
0.22,0.02,1.00437
0.24,0.02,1.00477
0.26,0.02,1.00516
0.28,0.02,1.00556
0.3,0.02,1.00596
0.32,0.02,1.00636
0.34,0.02,1.00676
0.36,0.02,1.00716
0.38,0.02,1.00756
0.4,0.02,1.00796
0.42,0.02,1.00836
0.44,0.02,1.00876
0.46,0.02,1.00916
0.48,0.02,1.00956
0.5,0.02,1.00996
0.52,0.02,1.01036
0.54,0.02,1.01076
0.56,0.02,1.01117
0.58,0.02,1.01157
0.6,0.02,1.01197
0.62,0.02,1.01237
0.64,0.02,1.01278
0.66,0.02,1.01318
0.68,0.02,1.01358
0.7,0.02,1.01399
0.72,0.02,1.01439
0.74,0.02,1.01479
0.76,0.02,1.0152
0.78,0.02,1.0156
0.8,0.02,1.01601
0.82,0.02,1.01641
0.84,0.02,1.01682
0.86,0.02,1.01723
0.88,0.02,1.01763
0.9,0.02,1.01804
0.92,0.02,1.01844
0.94,0.02,1.01885
0.96,0.02,1.01926
0.98,0.02,1.01967
1,0.02,1.02007
1.02,0.02,1.02048
1.04,0.02,1.02089
1.06,0.02,1.0213
1.08,0.02,1.02171
1.1,0.02,1.02212
1.12,0.02,1.02253
1.14,0.02,1.02294
1.16,0.02,1.02335
1.18,0.02,1.02376
1.2,0.02,1.02417
1.22,0.02,1.02458
1.24,0.02,1.02499
1.26,0.02,1.0254
1.28,0.02,1.02582
1.3,0.02,1.02623
1.32,0.02,1.02664
1.34,0.02,1.02705
1.36,0.02,1.02747
1.38,0.02,1.02788
1.4,0.02,1.02829
1.42,0.02,1.02871
1.44,0.02,1.02912
1.46,0.02,1.02954
1.48,0.02,1.02995
1.5,0.02,1.03036
1.52,0.02,1.03078
1.54,0.02,1.0312
1.56,0.02,1.03161
1.58,0.02,1.03203
1.6,0.02,1.03244
1.62,0.02,1.03286
1.64,0.02,1.03328
1.66,0.02,1.03369
1.68,0.02,1.03411
1.7,0.02,1.03453
1.72,0.02,1.03494
1.74,0.02,1.03536
1.76,0.02,1.03578
1.78,0.02,1.0362
1.8,0.02,1.03662
1.82,0.02,1.03704
1.84,0.02,1.03745
1.86,0.02,1.03787
1.88,0.02,1.03829
1.9,0.02,1.03871
1.92,0.02,1.03913
1.94,0.02,1.03955
1.96,0.02,1.03997
1.98,0.02,1.04039
2,0.02,1.04081
0,0.03,1
0.02,0.03,1.00059
0.04,0.03,1.00119
0.06,0.03,1.00178
0.08,0.03,1.00238
0.1,0.03,1.00297
0.12,0.03,1.00357
0.14,0.03,1.00417
0.16,0.03,1.00476
0.18,0.03,1.00536
0.2,0.03,1.00596
0.22,0.03,1.00656
0.24,0.03,1.00716
0.26,0.03,1.00776
0.28,0.03,1.00835
0.3,0.03,1.00895
0.32,0.03,1.00956
0.34,0.03,1.01016
0.36,0.03,1.01076
0.38,0.03,1.01136
0.4,0.03,1.01196
0.42,0.03,1.01256
0.44,0.03,1.01317
0.46,0.03,1.01377
0.48,0.03,1.01437
0.5,0.03,1.01498
0.52,0.03,1.01558
0.54,0.03,1.01619
0.56,0.03,1.0168
0.58,0.03,1.0174
0.6,0.03,1.01801
0.62,0.03,1.01862
0.64,0.03,1.01923
0.66,0.03,1.01983
0.68,0.03,1.02044
0.7,0.03,1.02105
0.72,0.03,1.02166
0.74,0.03,1.02227
0.76,0.03,1.02289
0.78,0.03,1.0235
0.8,0.03,1.02411
0.82,0.03,1.02472
0.84,0.03,1.02534
0.86,0.03,1.02595
0.88,0.03,1.02656
0.9,0.03,1.02718
0.92,0.03,1.0278
0.94,0.03,1.02841
0.96,0.03,1.02903
0.98,0.03,1.02965
1,0.03,1.03026
1.02,0.03,1.03088
1.04,0.03,1.0315
1.06,0.03,1.03212
1.08,0.03,1.03274
1.1,0.03,1.03336
1.12,0.03,1.03398
1.14,0.03,1.03461
1.16,0.03,1.03523
1.18,0.03,1.03585
1.2,0.03,1.03647
1.22,0.03,1.0371
1.24,0.03,1.03772
1.26,0.03,1.03835
1.28,0.03,1.03897
1.3,0.03,1.0396
1.32,0.03,1.04023
1.34,0.03,1.04086
1.36,0.03,1.04148
1.38,0.03,1.04211
1.4,0.03,1.04274
1.42,0.03,1.04337
1.44,0.03,1.044
1.46,0.03,1.04463
1.48,0.03,1.04526
1.5,0.03,1.04589
1.52,0.03,1.04653
1.54,0.03,1.04716
1.56,0.03,1.04779
1.58,0.03,1.04842
1.6,0.03,1.04906
1.62,0.03,1.04969
1.64,0.03,1.05033
1.66,0.03,1.05096
1.68,0.03,1.0516
1.7,0.03,1.05224
1.72,0.03,1.05287
1.74,0.03,1.05351
1.76,0.03,1.05415
1.78,0.03,1.05479
1.8,0.03,1.05543
1.82,0.03,1.05607
1.84,0.03,1.05671
1.86,0.03,1.05735
1.88,0.03,1.05799
1.9,0.03,1.05863
1.92,0.03,1.05927
1.94,0.03,1.05991
1.96,0.03,1.06055
1.98,0.03,1.06119
2,0.03,1.06184
0,0.04,1
0.02,0.04,1.00079
0.04,0.04,1.00159
0.06,0.04,1.00238
0.08,0.04,1.00317
0.1,0.04,1.00397
0.12,0.04,1.00476
0.14,0.04,1.00556
0.16,0.04,1.00636
0.18,0.04,1.00716
0.2,0.04,1.00795
0.22,0.04,1.00875
0.24,0.04,1.00955
0.26,0.04,1.01035
0.28,0.04,1.01116
0.3,0.04,1.01196
0.32,0.04,1.01276
0.34,0.04,1.01356
0.36,0.04,1.01437
0.38,0.04,1.01517
0.4,0.04,1.01598
0.42,0.04,1.01679
0.44,0.04,1.0176
0.46,0.04,1.0184
0.48,0.04,1.01921
0.5,0.04,1.02002
0.52,0.04,1.02083
0.54,0.04,1.02165
0.56,0.04,1.02246
0.58,0.04,1.02327
0.6,0.04,1.02409
0.62,0.04,1.0249
0.64,0.04,1.02572
0.66,0.04,1.02653
0.68,0.04,1.02735
0.7,0.04,1.02817
0.72,0.04,1.02899
0.74,0.04,1.02981
0.76,0.04,1.03063
0.78,0.04,1.03145
0.8,0.04,1.03228
0.82,0.04,1.0331
0.84,0.04,1.03393
0.86,0.04,1.03475
0.88,0.04,1.03558
0.9,0.04,1.03641
0.92,0.04,1.03723
0.94,0.04,1.03806
0.96,0.04,1.03889
0.98,0.04,1.03973
1,0.04,1.04056
1.02,0.04,1.04139
1.04,0.04,1.04222
