x,y,V
1,0,0
1.005,0,0.00997508
1.01,0,0.0199007
1.015,0,0.0297772
1.02,0,0.0396053
1.025,0,0.0493852
1.03,0,0.0591176
1.035,0,0.0688029
1.04,0,0.0784414
1.045,0,0.0880338
1.05,0,0.0975803
1.055,0,0.107082
1.06,0,0.116538
1.065,0,0.12595
1.07,0,0.135317
1.075,0,0.144641
1.08,0,0.153922
1.085,0,0.16316
1.09,0,0.172355
1.095,0,0.181509
1.1,0,0.19062
1.105,0,0.199691
1.11,0,0.20872
1.115,0,0.217709
1.12,0,0.226657
1.125,0,0.235566
1.13,0,0.244435
1.135,0,0.253265
1.14,0,0.262057
1.145,0,0.270809
1.15,0,0.279524
1.155,0,0.288201
1.16,0,0.29684
1.165,0,0.305442
1.17,0,0.314007
1.175,0,0.322536
1.18,0,0.331029
1.185,0,0.339486
1.19,0,0.347907
1.195,0,0.356292
1.2,0,0.364643
1.205,0,0.372959
1.21,0,0.381241
1.215,0,0.389488
1.22,0,0.397702
1.225,0,0.405882
1.23,0,0.414028
1.235,0,0.422142
1.24,0,0.430223
1.245,0,0.438271
1.25,0,0.446287
1.255,0,0.454271
1.26,0,0.462223
1.265,0,0.470144
1.27,0,0.478034
1.275,0,0.485892
1.28,0,0.49372
1.285,0,0.501517
1.29,0,0.509284
1.295,0,0.517021
1.3,0,0.524729
1.305,0,0.532406
1.31,0,0.540054
1.315,0,0.547673
1.32,0,0.555263
1.325,0,0.562825
1.33,0,0.570358
1.335,0,0.577863
1.34,0,0.585339
1.345,0,0.592788
1.35,0,0.600209
1.355,0,0.607603
1.36,0,0.614969
1.365,0,0.622309
1.37,0,0.629621
1.375,0,0.636907
1.38,0,0.644167
1.385,0,0.6514
1.39,0,0.658607
1.395,0,0.665789
1.4,0,0.672944
1.405,0,0.680075
1.41,0,0.687179
1.415,0,0.694259
1.42,0,0.701314
1.425,0,0.708344
1.43,0,0.715349
1.435,0,0.72233
1.44,0,0.729286
1.445,0,0.736219
1.45,0,0.743127
1.455,0,0.750012
1.46,0,0.756873
1.465,0,0.76371
1.47,0,0.770525
1.475,0,0.777316
1.48,0,0.784084
1.485,0,0.79083
1.49,0,0.797552
1.495,0,0.804252
1.5,0,0.81093
1.505,0,0.817586
1.51,0,0.824219
1.515,0,0.830831
1.52,0,0.837421
1.525,0,0.843989
1.53,0,0.850535
1.535,0,0.857061
1.54,0,0.863565
1.545,0,0.870048
1.55,0,0.87651
1.555,0,0.882951
1.56,0,0.889372
1.565,0,0.895772
1.57,0,0.902151
1.575,0,0.908511
1.58,0,0.91485
1.585,0,0.921169
1.59,0,0.927468
1.595,0,0.933747
1.6,0,0.940007
1.605,0,0.946248
1.61,0,0.952468
1.615,0,0.95867
1.62,0,0.964852
1.625,0,0.971016
1.63,0,0.97716
1.635,0,0.983286
1.64,0,0.989392
1.645,0,0.995481
1.65,0,1.00155
1.655,0,1.0076
1.66,0,1.01364
1.665,0,1.01965
1.67,0,1.02565
1.675,0,1.03163
1.68,0,1.03759
1.685,0,1.04353
1.69,0,1.04946
1.695,0,1.05537
1.7,0,1.06126
1.705,0,1.06713
1.71,0,1.07299
1.715,0,1.07883
1.72,0,1.08465
1.725,0,1.09045
1.73,0,1.09624
1.735,0,1.10201
1.74,0,1.10777
1.745,0,1.11351
1.75,0,1.11923
1.755,0,1.12494
1.76,0,1.13063
1.765,0,1.1363
1.77,0,1.14196
1.775,0,1.1476
1.78,0,1.15323
1.785,0,1.15884
1.79,0,1.16443
1.795,0,1.17001
1.8,0,1.17557
1.805,0,1.18112
1.81,0,1.18665
1.815,0,1.19217
1.82,0,1.19767
1.825,0,1.20316
1.83,0,1.20863
1.835,0,1.21409
1.84,0,1.21953
1.845,0,1.22496
1.85,0,1.23037
1.855,0,1.23577
1.86,0,1.24115
1.865,0,1.24652
1.87,0,1.25188
1.875,0,1.25722
1.88,0,1.26254
1.885,0,1.26786
1.89,0,1.27315
1.895,0,1.27844
1.9,0,1.28371
1.905,0,1.28896
1.91,0,1.29421
1.915,0,1.29944
1.92,0,1.30465
1.925,0,1.30985
1.93,0,1.31504
1.935,0,1.32021
1.94,0,1.32538
1.945,0,1.33052
1.95,0,1.33566
1.955,0,1.34078
1.96,0,1.34589
1.965,0,1.35098
1.97,0,1.35607
1.975,0,1.36114
1.98,0,1.36619
1.985,0,1.37124
1.99,0,1.37627
1.995,0,1.38129
2,0,1.38629
1,0.005,2.49997e-05
1.005,0.005,0.00995452
1.01,0.005,0.0198345
1.015,0.005,0.0296656
1.02,0.005,0.0394481
1.025,0.005,0.0491826
1.03,0.005,0.0588696
1.035,0.005,0.0685095
1.04,0.005,0.0781027
1.045,0.005,0.0876499
1.05,0.005,0.0971513
1.055,0.005,0.106607
1.06,0.005,0.116019
1.065,0.005,0.125386
1.07,0.005,0.134709
1.075,0.005,0.143988
1.08,0.005,0.153225
1.085,0.005,0.162418
1.09,0.005,0.171569
1.095,0.005,0.180679
1.1,0.005,0.189747
1.105,0.005,0.198773
1.11,0.005,0.207759
1.115,0.005,0.216705
1.12,0.005,0.22561
1.125,0.005,0.234476
1.13,0.005,0.243303
1.135,0.005,0.25209
1.14,0.005,0.26084
1.145,0.005,0.26955
1.15,0.005,0.278224
1.155,0.005,0.286859
1.16,0.005,0.295457
1.165,0.005,0.304019
1.17,0.005,0.312544
1.175,0.005,0.321032
1.18,0.005,0.329485
1.185,0.005,0.337902
1.19,0.005,0.346284
1.195,0.005,0.354631
1.2,0.005,0.362943
1.205,0.005,0.371221
1.21,0.005,0.379465
1.215,0.005,0.387675
1.22,0.005,0.395852
1.225,0.005,0.403995
1.23,0.005,0.412105
1.235,0.005,0.420183
1.24,0.005,0.428229
1.245,0.005,0.436242
1.25,0.005,0.444224
1.255,0.005,0.452174
1.26,0.005,0.460092
1.265,0.005,0.46798
1.27,0.005,0.475837
1.275,0.005,0.483663
1.28,0.005,0.491459
1.285,0.005,0.499225
1.29,0.005,0.506962
1.295,0.005,0.514669
1.3,0.005,0.522346
1.305,0.005,0.529994
1.31,0.005,0.537614
1.315,0.005,0.545205
1.32,0.005,0.552768
1.325,0.005,0.560302
1.33,0.005,0.567809
1.335,0.005,0.575288
1.34,0.005,0.582739
1.345,0.005,0.590163
1.35,0.005,0.597561
1.355,0.005,0.604931
1.36,0.005,0.612275
1.365,0.005,0.619592
1.37,0.005,0.626883
1.375,0.005,0.634148
1.38,0.005,0.641387
1.385,0.005,0.648601
1.39,0.005,0.655789
1.395,0.005,0.662952
1.4,0.005,0.67009
1.405,0.005,0.677203
1.41,0.005,0.684292
1.415,0.005,0.691356
1.42,0.005,0.698395
1.425,0.005,0.705411
1.43,0.005,0.712403
1.435,0.005,0.719371
1.44,0.005,0.726315
1.445,0.005,0.733236
1.45,0.005,0.740134
1.455,0.005,0.747009
1.46,0.005,0.75386
1.465,0.005,0.76069
1.47,0.005,0.767496
1.475,0.005,0.77428
1.48,0.005,0.781042
1.485,0.005,0.787782
1.49,0.005,0.7945
1.495,0.005,0.801196
1.5,0.005,0.807871
1.505,0.005,0.814524
1.51,0.005,0.821155
1.515,0.005,0.827766
1.52,0.005,0.834356
1.525,0.005,0.840924
1.53,0.005,0.847472
1.535,0.005,0.854
1.54,0.005,0.860507
1.545,0.005,0.866993
1.55,0.005,0.87346
1.555,0.005,0.879906
1.56,0.005,0.886333
1.565,0.005,0.89274
1.57,0.005,0.899127
1.575,0.005,0.905494
1.58,0.005,0.911843
1.585,0.005,0.918172
1.59,0.005,0.924482
1.595,0.005,0.930772
1.6,0.005,0.937044
1.605,0.005,0.943298
1.61,0.005,0.949532
1.615,0.005,0.955748
1.62,0.005,0.961946
1.625,0.005,0.968126
1.63,0.005,0.974287
1.635,0.005,0.98043
1.64,0.005,0.986555
1.645,0.005,0.992663
1.65,0.005,0.998752
1.655,0.005,1.00482
1.66,0.005,1.01088
1.665,0.005,1.01692
1.67,0.005,1.02294
1.675,0.005,1.02894
1.68,0.005,1.03492
1.685,0.005,1.04089
1.69,0.005,1.04684
1.695,0.005,1.05278
1.7,0.005,1.0587
1.705,0.005,1.0646
1.71,0.005,1.07048
1.715,0.005,1.07635
1.72,0.005,1.0822
1.725,0.005,1.08804
1.73,0.005,1.09386
1.735,0.005,1.09966
1.74,0.005,1.10545
1.745,0.005,1.11122
1.75,0.005,1.11698
1.755,0.005,1.12272
1.76,0.005,1.12845
1.765,0.005,1.13416
1.77,0.005,1.13985
1.775,0.005,1.14553
1.78,0.005,1.15119
1.785,0.005,1.15684
1.79,0.005,1.16247
1.795,0.005,1.16809
