x,y,V
1,0,1
1.02,0,1.0404
1.04,0,1.0816
1.06,0,1.1236
1.08,0,1.1664
1.1,0,1.21
1.12,0,1.2544
1.14,0,1.2996
1.16,0,1.3456
1.18,0,1.3924
1.2,0,1.44
1.22,0,1.4884
1.24,0,1.5376
1.26,0,1.5876
1.28,0,1.6384
1.3,0,1.69
1.32,0,1.7424
1.34,0,1.7956
1.36,0,1.8496
1.38,0,1.9044
1.4,0,1.96
1.42,0,2.0164
1.44,0,2.0736
1.46,0,2.1316
1.48,0,2.1904
1.5,0,2.25
1.52,0,2.3104
1.54,0,2.3716
1.56,0,2.4336
1.58,0,2.4964
1.6,0,2.56
1.62,0,2.6244
1.64,0,2.6896
1.66,0,2.7556
1.68,0,2.8224
1.7,0,2.89
1.72,0,2.9584
1.74,0,3.0276
1.76,0,3.0976
1.78,0,3.1684
1.8,0,3.24
1.82,0,3.3124
1.84,0,3.3856
1.86,0,3.4596
1.88,0,3.5344
1.9,0,3.61
1.92,0,3.6864
1.94,0,3.7636
1.96,0,3.8416
1.98,0,3.9204
2,0,4
1,0.04,0.9216
1.02,0.04,0.960398
1.04,0.04,0.999996
1.06,0.04,1.04039
1.08,0.04,1.08159
1.1,0.04,1.12359
1.12,0.04,1.16639
1.14,0.04,1.20999
1.16,0.04,1.25438
1.18,0.04,1.29958
1.2,0.04,1.34558
1.22,0.04,1.39238
1.24,0.04,1.43998
1.26,0.04,1.48838
1.28,0.04,1.53758
1.3,0.04,1.58757
1.32,0.04,1.63837
1.34,0.04,1.68997
1.36,0.04,1.74237
1.38,0.04,1.79557
1.4,0.04,1.84957
1.42,0.04,1.90437
1.44,0.04,1.95997
1.46,0.04,2.01637
1.48,0.04,2.07357
1.5,0.04,2.13157
1.52,0.04,2.19037
1.54,0.04,2.24997
1.56,0.04,2.31037
1.58,0.04,2.37157
1.6,0.04,2.43357
1.62,0.04,2.49637
1.64,0.04,2.55997
1.66,0.04,2.62437
1.68,0.04,2.68957
1.7,0.04,2.75557
1.72,0.04,2.82238
1.74,0.04,2.88998
1.76,0.04,2.95838
1.78,0.04,3.02758
1.8,0.04,3.09758
1.82,0.04,3.16838
1.84,0.04,3.23998
1.86,0.04,3.31239
1.88,0.04,3.38559
1.9,0.04,3.45959
1.92,0.04,3.53439
1.94,0.04,3.60999
1.96,0.04,3.6864
1.98,0.04,3.7636
2,0.04,3.8416
1,0.08,0.8464
1.02,0.08,0.883596
1.04,0.08,0.921592
1.06,0.08,0.960388
1.08,0.08,0.999984
1.1,0.08,1.04038
1.12,0.08,1.08158
1.14,0.08,1.12357
1.16,0.08,1.16637
1.18,0.08,1.20997
1.2,0.08,1.25436
1.22,0.08,1.29956
1.24,0.08,1.34556
1.26,0.08,1.39235
1.28,0.08,1.43995
1.3,0.08,1.48835
1.32,0.08,1.53755
1.34,0.08,1.58754
1.36,0.08,1.63834
1.38,0.08,1.68994
1.4,0.08,1.74234
1.42,0.08,1.79554
1.44,0.08,1.84954
1.46,0.08,1.90434
